date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:20	97/97	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%225a-6135f310-8da345f281be3619;;;%22	https://www.indonez.com/robots.txt		(from )
01:33:20	37432/37432	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2015:09:35%20GMT	https://www.indonez.com/html-demo/Equity/	www.indonez.com/html-demo/Equity/index.html	(from )
01:33:21	134246/134246	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220c66-618e78ff-9f7e2108383796a1;gz%22	https://www.indonez.com/html-demo/Equity/js/vendors/uikit.min.js	www.indonez.com/html-demo/Equity/js/vendors/uikit.min.js	(from https://www.indonez.com/html-demo/Equity/)
01:33:22	251629/251629	---M-Z	200	added ('OK')	text/css	etag:%223d6ed-618e83b2-da2bc2021b1c7e21;gz%22	https://www.indonez.com/html-demo/Equity/css/vendors/uikit.min.css	www.indonez.com/html-demo/Equity/css/vendors/uikit.min.css	(from https://www.indonez.com/html-demo/Equity/)
01:33:22	144878/144878	---M-Z	200	added ('OK')	text/css	etag:%22235ee-618e83b2-479ac07efc4b534f;gz%22	https://www.indonez.com/html-demo/Equity/css/style.css	www.indonez.com/html-demo/Equity/css/style.css	(from https://www.indonez.com/html-demo/Equity/)
01:33:24	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%2212bdc-618e78ff-57ae4d460983e2f9;;;%22	https://www.indonez.com/html-demo/Equity/fonts/fa-brands-400.woff2	www.indonez.com/html-demo/Equity/fonts/fa-brands-400.woff2	(from https://www.indonez.com/html-demo/Equity/)
01:33:25	78196/78196	---M--	200	added ('OK')	font/woff2	etag:%2213174-618e78ff-8b0d49c302338c8d;;;%22	https://www.indonez.com/html-demo/Equity/fonts/fa-solid-900.woff2	www.indonez.com/html-demo/Equity/fonts/fa-solid-900.woff2	(from https://www.indonez.com/html-demo/Equity/)
01:33:25	12516/12516	---M--	200	added ('OK')	font/woff2	etag:%2230e4-618e78ff-e6128763c2247f33;;;%22	https://www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-regular.woff2	www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-regular.woff2	(from https://www.indonez.com/html-demo/Equity/)
01:33:26	12408/12408	---M--	200	added ('OK')	font/woff2	etag:%223078-618e78ff-55ff674a579e5369;;;%22	https://www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-300.woff2	www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-300.woff2	(from https://www.indonez.com/html-demo/Equity/)
01:33:27	12352/12352	---M--	200	added ('OK')	font/woff2	etag:%223040-618e78ff-7f7483667924a598;;;%22	https://www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-700.woff2	www.indonez.com/html-demo/Equity/fonts/archivo-v9-latin-700.woff2	(from https://www.indonez.com/html-demo/Equity/)
01:33:28	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-618e83b3-c05fb5fa26eb5c04;gz%22	https://www.indonez.com/html-demo/Equity/favicon.ico	www.indonez.com/html-demo/Equity/favicon.ico	(from https://www.indonez.com/html-demo/Equity/)
01:33:29	2897/2897	---M--	200	added ('OK')	image/png	etag:%22b51-618e83b3-a01db670e070bcfa;;;%22	https://www.indonez.com/html-demo/Equity/apple-touch-icon.png	www.indonez.com/html-demo/Equity/apple-touch-icon.png	(from https://www.indonez.com/html-demo/Equity/)
01:33:31	37432/37432	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2015:09:35%20GMT	https://www.indonez.com/html-demo/Equity/index.html	www.indonez.com/html-demo/Equity/index-2.html	(from https://www.indonez.com/html-demo/Equity/)
